TV2,Трансформатор ТПГ-302-5,1,
TV3,Трансформатор ТПГ-302-5,1,
XP1,Клемма K14-00A(H)  DEGSON,1,
XP2,Клемма K14-00A(H)  DEGSON,1,
XP3,Клемма K14-00A(H)  DEGSON,1,
XP4,Клемма K14-00A(H)  DEGSON,1,
XP5,Вилка IDC-10MS  Connfly,1,
XP6,Вилка IDC-10MS  Connfly,1,
XP7,Клемма K14-00A(H)  DEGSON,1,
XP8,Клемма K14-00A(H)  DEGSON,1,
XP9,Клемма K14-00A(H)  DEGSON,1,
K1,Реле КНЕ130 24В  ТУ16-94-БКЖИ.644131.001ТУ,1,
K2,Реле КНЕ130 24В  ТУ16-94-БКЖИ.644131.001ТУ,1,
R1,Резистор SQP20AJB-20 Ом ±5% YAGEO,1,
R2,Резистор SQP20AJB-20 Ом ±5% YAGEO,1,
R3,Резистор SQP20AJB-20 Ом ±5% YAGEO,1,
TA1,Трансформатор тока ГБНК.671231.001,1,
TV1,Трансформатор ТПГ-302-5,1,
TV2,Трансформатор ТПГ-302-5,1,
TV3,Трансформатор ТПГ-302-5,1,
XP1,Клемма K14-00A(H)  DEGSON,1,
XP2,Клемма K14-00A(H)  DEGSON,1,
XP3,Клемма K14-00A(H)  DEGSON,1,
XP4,Клемма K14-00A(H)  DEGSON,1,
XP5,Вилка IDC-10MS  Connfly,1,
XP6,Вилка IDC-10MS  Connfly,1,
XP7,Клемма K14-00A(H)  DEGSON,1,
XP8,Клемма K14-00A(H)  DEGSON,1,
XP9,Клемма K14-00A(H)  DEGSON,1,
C2,"Конденсатор PHE426MD6330JR06L2 630 В 0,33 мкФ ±5% KEMET",1,
C3,"Конденсатор PHE426MD6330JR06L2 630 В 0,33 мкФ ±5% KEMET",1,
C4,"Конденсатор PHE426PR7150JR03R30L2 1000 В 1,5 мкФ ±5% KEMET",1,
R1,Резистор С2-33-2-22 Ом ±5%-Д-В-ОЖ0.467.093ТУ,1,
R2,Резистор С2-33-2-22 Ом ±5%-Д-В-ОЖ0.467.093ТУ,1,
R3,Резистор С2-33-2-22 Ом ±5%-Д-В-ОЖ0.467.093ТУ,1,
VD1,Диод SK95D16 SEMIKRON,1,
XP1,Клемма K14-00A(H)  DEGSON,1,
XP2,Клемма K14-00A(H)  DEGSON,1,
XP3,КлC2,"Конденсатор PHE426MD6330JR06L2 630 В 0,33 мкФ ±5% KEMET",1,
C3,"Конденсатор PHE426MD6330JR06L2 630 В 0,33 мкФ ±5% KEMET",1,
C4,"Конденсатор PHE426PR7150JR03R30L2 1000 В 1,5 мкФ ±5% KEMET",1,
R1,Резистор С2-33-2-22 Ом ±5%-Д-В-ОЖ0.467.093ТУ,1,
R2,Резистор С2-33-2-22 Ом ±5%-Д-В-ОЖ0.467.093ТУ,1,
R3,Резистор С2-33-2-22 Ом ±5%-Д-В-ОЖ0.467.093ТУ,1,
VD1,Диод SK95D16 SEMIKRON,1,
XP1,Клемма K14-00A(H)  DEGSON,1,
XP2,Клемма K14-00A(H)  DEGSON,1,
XP3,Клемма K14-00A(H)  DEGSON,1,
XP4,Клемма K14-00A(H)  DEGSON,1,
XP5,Клемма K14-00A(H)  DEGSON,1,
XP6,Клемма K14-00A(H)  DEGSON,1,
XP7,Клемма K14-00A(H)  DEGSON,1,
XP8,Клемма K14-00A(H)  DEGSON,1,
XP9,Клемма K14-00A(H)  DEGSON,1,
XP10,Клемма K14-00A(H)  DEGSON,1,
C1,Конденсатор К10-79 МП0 8200 пФ ±5%  АЖЯР.673511.004 ТУ,1,
C2,Конденсатор К10-79 Н30 6800 пФ ±20%  АЖЯР.673511.004 ТУ,1,
C3,"Конденсатор К10-79 Н90 0,047 мкФ +80/-20%  АЖЯР.673511.004 ТУ",1,
C4,Конденсатор К10-79 Н30 6800 пФ ±20%  АЖЯР.673511.004 ТУ,1,
C5,"Конденсатор К10-79 Н90 0,1 мкФ +80/-20%  АЖЯР.673511.004 ТУ",1,
C6,"Конденсатор К10-79 Н90 0,1 мкФ +80/-20%  АЖЯР.673511.004 ТУ",1,
C7,"Конденсатор C1812X475K5RACTU 4,7 мкФ ±10% 50В",1,
C8,"Конденсатор C1812X475K5RACTU 4,7 мкФ ±10% 50В",1,
C9,Конденсатор C1808C331KHRACTU 330 пФ ±10% 3 кВ,1,
C10,Конденсатор GRM21BZ71E106KE15L 10 мкФ ±10% 25В,1,
DA1,Микросхема TLV9062QDRQ1 Texas Instruments,1,
DA2,Микросхема TLV9062QDRQ1 Texas Instruments,1,
DA3,Микросхема TDR 3-2411SM TRACO POWER,1,
FU1,"Вставка плавкая 0438.250WRA 0,25 А 63 В Littlefuse",1,
FU2,"Вставка плавкая 0438.250WRA 0,25 А 63 В Littlefuse",1,
FU3,"Вставка плавкая 0438.250WRA 0,25 А 63 В Littlefuse",1,
L1,"Дроссель TCK-046 1,2 А 18 мкГн ±20 % TRACO Power",1,
R1,"Резистор Р1-12-0,125-1 кОм ±1% - Т-""А""-АЛЯР.434110.005 ТУ",1,
R2,"Резистор Р1-12-0,125-10 кОм ±1% - Т-""А""-АЛЯР.434110.005 ТУ",1,
R3,"Резистор Р1-12-0,125-10 кОм ±1% - Т-""А""-АЛЯР.434110.005 ТУ",1,
R4,"Резистор Р1-12-0,125-6,65 кОм ±1% - Т-""А""-АЛЯР.434110.005 ТУ",1,
R5,"Резистор Р1-12-0,125-6,65 кОм ±1% - Т-""А""-АЛЯР.434110.005 ТУ",1,
R6,"Резистор Р1-12-0,125-33,2 кОм ±1% - Т-""А""-АЛЯР.434110.005 ТУ",1,
R7,Резистор Р1-12М-0805-0-А-М-АБШК.434110.023 ТУ,1,
R8,"Резистор Р1-12-0,125-60,4 кОм ±1% - Т-""А""-АЛЯР.434110.005 ТУ",1,
R9,"Резистор Р1-12-0,125-84,5 кОм ±1% - Т-""А""-АЛЯР.434110.005 ТУ",1,
R10,"Резистор Р1-12-0,125-26,7 кОм ±1% - Т-""А""-АЛЯР.434110.005 ТУ",1,
R11,"Резистор Р1-12-0,125-33,2 кОм ±1% - Т-""А""-АЛЯР.434110.005 ТУ",1,
R12,Резистор Р1-12М-0805-0-А-М-АБШК.434110.023 ТУ,1,
R13,Резистор Р1-12М-0805-0-А-М-АБШК.434110.023 ТУ,1,
R14,"Резистор Р1-12-0,125-10 кОм ±5% - Т-""А""-АЛЯР.434110.005 ТУ",1,
R15,"Резистор Р1-12-0,125-10 кОм ±5% - Т-""А""-АЛЯР.434110.005 ТУ",1,
R16,"Резистор Р1-12-0,5-2,4 кОм ±5% - Т-""А""-АЛЯР.434110.005 ТУ",1,
R17,"Резистор Р1-12-0,5-2,4 кОм ±5% - Т-""А""-АЛЯР.434110.005 ТУ",1,
R18,"Резистор Р1-12-0,125-10 кОм ±5% - Т-""А""-АЛЯР.434110.005 ТУ",1,
R19,"Резистор Р1-12-0,125-10 кОм ±5% - Т-""А""-АЛЯР.434110.005 ТУ",1,
R20,"Резистор Р1-12-0,5-2,4 кОм ±5% - Т-""А""-АЛЯР.434110.005 ТУ",1,
R21,"Резистор Р1-12-0,5-2,4 кОм ±5% - Т-""А""-АЛЯР.434110.005 ТУ",1,
R22,"Резистор Р1-12-0,125-620 Ом ±5% - Т-""А""-АЛЯР.434110.005 ТУ",1,
R23,"Резистор Р1-12-0,125-620 Ом ±5% - Т-""А""-АЛЯР.434110.005 ТУ",1,
R24,"Резистор Р1-12-0,125-1,1 кОм ±5% - Т-""А""-АЛЯР.434110.005 ТУ",1,
R25,"Резистор Р1-12-0,125-1,1 кОм ±5% - Т-""А""-АЛЯР.434110.005 ТУ",1,
R26,"Резистор Р1-12-0,125-1 кОм ±5% - Т-""А""-АЛЯР.434110.005 ТУ",1,
R27,Резистор Р1-12М-0805-0-А-М-АБШК.434110.023 ТУ,1,
R28,Резистор Р1-12М-0805-0-А-М-АБШК.434110.023 ТУ,1,
R29,Резистор Р1-12М-0805-0-А-М-АБШК.434110.023 ТУ,1,
VD1,Диод PMEG4010ER Nexperia,1,
VD2,Диод 1N4148W Vishay,1,
VD3,Диод 1N4148W Vishay,1,
VD4,Диод 1N4148W Vishay,1,
VD5,Диод 1N4148W Vishay,1,
VD6,Диод 1N4148W Vishay,1,
VD7,Диод PMEG4010ER Nexperia,1,
VD8,Стабилитрон BZT52C4V7 Diodes Incorporated,1,
VT1,VO617A3X017T Vishay,1,
VT2,VO617A3X017T Vishay,1,
VT3,VO617A3X017T Vishay,1,
VT4,VO617A3X017T Vishay,1,
VT5,Транзистор SQ2364EES-T1_GE3 Vishay,1,
VT6,Транзистор SQ2364EES-T1_GE3 Vishay,1,
XP1,Вилка IDC-10MS  Connfly,1,
XP2,Вилка ГРПМ1-31ШУ-2 Ке0.364.006 ТУ,1,
XP3,Вилка IDC-10MS  Connfly,1,
A1,Выпрямитель входной ГБНК.435314.009,1,
A2,Фильтр выпрямителя ГБНК.468822.009,1,
A3,Фильтр радиопомех B84131M0001G135 Epcos,1,
A4,Устройство коммутации ГБНК.468363.005,1,
QF1,Выключатель автоматический OptiDin BM63-4C32-УХЛ3 КЭАЗ,1,
XP1,Вилка РП10-30Л  ГЕ0.364.004 ТУ,1,
XT1,Клемма НШПИ 2.5–10 КВТ,1,
XT2,Клемма НШПИ 2.5–10 КВТ,1,
XT3,Клемма НШПИ 2.5–10 КВТ,1,
XT4,Клемма НШПИ 2.5–10 КВТ,1,
XT5,Клемма НКИ(н) 6.0–6 КВТ,1,
XT6,Клемма НКИ(н) 6.0–6 КВТ,1,
XT7,Клемма НКИ(н) 6.0–6 КВТ,1,
XT8,Клемма НШПИ 2.5–10 КВТ,1,
XT9,Клемма НШПИ 2.5–10 КВТ,1,
